Mauritius;2.885;864.9 ; billion kWh 
Mexico;277.6;2.658 ; billion kWh 
Micronesia, Federated States of;192;232.3 ; billion kWh 
Moldova;5.456;178.6 ; billion kWh 
Mongolia;4.472;4.211 ; billion kWh 
Montenegro;3.809;4.062 ; billion kWh 
Montserrat;24;3.465 ; billion kWh 
Morocco;23.65;22.32 ; billion kWh 
Mozambique;14.83;25.14 ; billion kWh 
Namibia;1.331;10.19 ; billion kWh 
Nepal;3.431;4.238 ; billion kWh 
Netherlands;98.57;23.25 ; billion kWh 
New Caledonia;2.43;2.832 ; billion kWh 
New Zealand;42.91;116.8 ; billion kWh 
Nicaragua;4.159;2.26 ; billion kWh 
Nigeria;25.7;40.45 ; billion kWh 
Niger;300;2.777 ; billion kWh 
Niue;3;23.11 ; billion kWh 
Northern Mariana Islands;0.0006;879; billion kWh 
Norway;134;2.79 ; billion kWh 
Oman;20.07;0.4838; billion kWh 
Pakistan;89.88;119.5 ; billion kWh 
Panama;7.642;17.23 ; billion kWh 
Papua New Guinea;3.325;80.3 ; billion kWh 
Paraguay;57.05;6.626 ; billion kWh 
Peru;38.4;3.092 ; billion kWh 
Philippines;72.92;7.497 ; billion kWh 
Poland;150.9;35.71 ; billion kWh 
Portugal;51.67;72.92 ; billion kWh 
Puerto Rico;20.02;137.5 ; billion kWh 
Qatar;28.87;46.25 ; billion kWh 
Romania;55.78;18.61 ; billion kWh 
Russia;1.054;28.24 ; billion kWh 
Rwanda;300.2;49.69 ; billion kWh 
Saint Helena, Ascension, and Tristan da Cunha;8;1.037 ; billion kWh 
Saint Kitts and Nevis;138;352.2 ; billion kWh 
Saint Lucia;362;7.44 ; billion kWh 
Saint Pierre and Miquelon;42;128.3 ; billion kWh 
Saint Vincent and the Grenadines;135;336.7 ; billion kWh 
Samoa;115.2;39.06 ; billion kWh 
Sao Tome and Principe;60;125.6 ; billion kWh 
Saudi Arabia;235.1;107.1 ; billion kWh 
Senegal;3.148;55.8 ; billion kWh 
Serbia;34.4;211.6 ; billion kWh 
Seychelles;304;2.586 ; billion kWh 
Sierra Leone;145;26.91 ; billion kWh 
Singapore;49.31;282.7 ; billion kWh 
Sint Maarten;304.3;134.9 ; billion kWh 
Slovakia;28.59;47.18 ; billion kWh 
Slovenia;14.76;28.68 ; billion kWh 
Solomon Islands;85;12.66 ; billion kWh 
Somalia;310;79.05 ; billion kWh 
South Africa;257.9;288.3 ; billion kWh 
South Sudan;881.3;234.2 ; billion kWh 
Spain;276.5;694.1 ; billion kWh 
Sri Lanka;11.8;243.9 ; billion kWh 
Sudan;7.193;9.557 ; billion kWh 
Suriname;1.6;5.665 ; billion kWh 
Swaziland;415;1.475 ; billion kWh 
Sweden;162.9;1.295 ; billion kWh 
Switzerland;65.54;130.5 ; billion kWh 
Syria;38.78;58.97 ; billion kWh 
Taiwan;235;35.37 ; billion kWh 
Tajikistan;17.09;224.8 ; billion kWh 
Tanzania;5.115;16.09 ; billion kWh 
Thailand;173.3;4.137 ; billion kWh 
Timor-Leste;349.4;169.4 ; billion kWh 
Togo;136;125.3 ; billion kWh 
Tonga;48;717; billion kWh 
Trinidad and Tobago;8.355;44.64 ; billion kWh 
Tunisia;15.23;7.929 ; billion kWh 
Turkey;228.1;12.94 ; billion kWh 
Turkmenistan;22.3;187.1 ; billion kWh 
Turks and Caicos Islands;185;19.3 ; billion kWh 
Tuvalu;11.8;172.1 ; billion kWh 
Uganda;2.493;2.284 ; billion kWh 
Ukraine;198.1;175.3 ; billion kWh 
United Arab Emirates;97.91;82.52 ; billion kWh 
United Kingdom;335;303.8 ; billion kWh 
United States;4.048;3.883 ; billion kWh 
Uruguay;10.16;9.333 ; billion kWh 
Uzbekistan;52.53;45.07 ; billion kWh 
Vanuatu;55;51.15 ; billion kWh 
Venezuela;127.6;94.83 ; billion kWh 
Vietnam;117;104; billion kWh 
Virgin Islands;707;739.6 ; billion kWh 
West Bank;535;5.12 ; billion kWh 
Western Sahara;90;83.7 ; billion kWh 
World;22.29;20.98 ; billion kWh 
Yemen;5.834;4.137 ; billion kWh 
Zambia;11.34;8.06 ; billion kWh 
Zimbabwe;7.297;8.49 ; billion kWh 
